url,metro,area,community,size,layout,price,unit_price,input,floor,year,building,facing,decorate,title
https://sh.lianjia.com/ershoufang/107101643729.html,江苏路站,中山公园,五环大楼, 124.8平米 ,3室1厅 ,720,单价57693元/平米,6人关注 / 6个月以前发布, 高楼层(共21层) , 1993年建 , 板楼, 南 , 简装 ,五环大楼 3室1厅 720万
https://sh.lianjia.com/ershoufang/107101677016.html,江苏路站,中山公园,长源小区, 127.6平米 ,3室1厅 ,780,单价61129元/平米,19人关注 / 5个月以前发布, 高楼层(共6层) , 1996年建 , 板楼, 南 , 简装 ,三间朝南，一梯两户，南北通风，全明户型，得房率高
https://sh.lianjia.com/ershoufang/107101546986.html,交通大学站,新华路,法华苑, 101.74平米 ,3室2厅 ,820,单价80598元/平米,43人关注 / 7个月以前发布, 高楼层(共26层) , 1995年建 , 板楼, 南 北 , 精装 ,交通大学地铁口，品质外销房，看房方便，业主诚意售
https://sh.lianjia.com/ershoufang/107101586814.html,交通大学站,新华路,文艺大楼, 121.99平米 ,3室2厅 ,800,单价65580元/平米,33人关注 / 6个月以前发布, 高楼层(共12层) , 1981年建 , 塔楼, 南 北 , 毛坯 ,看房方便提前预约 户型方正 三房朝南
https://sh.lianjia.com/ershoufang/107101433696.html,交通大学站,新华路,达安长宁公寓, 113.58平米 ,3室2厅 ,826,单价72725元/平米,53人关注 / 8个月以前发布, 低楼层(共8层) , 1998年建 , 板楼, 南 , 简装 ,急售！电梯南北3房，一梯两户，闹中取静，使用面积大
https://sh.lianjia.com/ershoufang/107100679130.html,交通大学站,新华路,太子公寓, 117.51平米 ,3室2厅 ,870,单价74037元/平米,126人关注 / 一年前发布, 中楼层(共8层) , 1995年建 , 板楼, 西 , 精装 ,标准3房带储藏室！有产权车位！近孙科别墅幸福里
https://sh.lianjia.com/ershoufang/107101714657.html,交通大学站,新华路,太子公寓, 118.85平米 ,3室2厅 ,778,单价65461元/平米,101人关注 / 5个月以前发布, 中楼层(共8层) , 1995年建 , 板楼, 东南 , 精装 ,高品质外销房 近孙科别墅近幸福里 房型正气 楼层好
https://sh.lianjia.com/ershoufang/107101328927.html,交通大学站,徐家汇,实业公寓, 91.4平米 ,3室2厅 ,750,单价82057元/平米,152人关注 / 9个月以前发布, 低楼层(共28层) , 1992年建 , 塔楼, 东北 , 简装 ,徐家汇地铁口 方正户型 汇站居委 适合住家
https://sh.lianjia.com/ershoufang/107102054237.html,交通大学站,徐家汇,实业公寓, 111.67平米 ,3室2厅 ,868,单价77730元/平米,9人关注 / 2个月以前发布, 高楼层(共28层) , 1992年建 , 塔楼, 东北 , 其他 ,实业公寓高区三房，业主诚意出售，看房方便
https://sh.lianjia.com/ershoufang/107101856954.html,交通大学站,徐家汇,天平小区, 96.49平米 ,3室1厅 ,850,单价88093元/平米,8人关注 / 4个月以前发布, 低楼层(共20层) , 1995年建 , 塔楼, 东 东南 , 简装 ,天平路广元路三室+单价低+价格可谈+看房方便
https://sh.lianjia.com/ershoufang/107101789735.html,交通大学站,徐家汇,实业公寓, 112平米 ,3室2厅 ,870,单价77679元/平米,33人关注 / 4个月以前发布, 低楼层(共28层) , 1992年建 , 塔楼, 南 , 简装 ,出则繁华，入则宁静；入则宁静，出则繁华！
https://sh.lianjia.com/ershoufang/107101586814.html,上海图书馆站,新华路,文艺大楼, 121.99平米 ,3室2厅 ,800,单价65580元/平米,33人关注 / 6个月以前发布, 高楼层(共12层) , 1981年建 , 塔楼, 南 北 , 毛坯 ,看房方便提前预约 户型方正 三房朝南
